timestamp,source,dist_front,dist_left,dist_right,speed_left,speed_right,action,confidence,decision_source,cycle,steps_l,steps_r,notes
2026-01-27T00:18:05.528835,SIM,380.0,380.0,380.0,100,100,FORWARD,1.930,NPZ,1,0,0,x:800;y:425
2026-01-27T00:18:06.139379,SIM,380.0,380.0,380.0,100,100,FORWARD,2.344,NPZ,2,0,0,x:799;y:426
2026-01-27T00:18:06.445673,SIM,380.0,380.0,380.0,100,100,FORWARD,2.344,NPZ,3,0,0,x:798;y:426
2026-01-27T00:18:06.748197,SIM,380.0,380.0,380.0,100,100,FORWARD,2.344,NPZ,4,0,0,x:797;y:427
2026-01-27T00:18:07.060431,SIM,380.0,380.0,380.0,100,100,FORWARD,2.344,NPZ,5,0,0,x:796;y:428
2026-01-27T00:18:07.365843,SIM,380.0,380.0,380.0,100,100,FORWARD,2.344,NPZ,6,0,0,x:795;y:428
2026-01-27T00:18:07.674084,SIM,380.0,380.0,380.0,100,100,FORWARD,2.344,NPZ,7,0,0,x:795;y:429
2026-01-27T00:18:07.983246,SIM,380.0,380.0,380.0,100,100,FORWARD,2.344,NPZ,8,0,0,x:794;y:429
2026-01-27T00:18:08.294443,SIM,380.0,380.0,380.0,100,100,FORWARD,2.344,NPZ,9,0,0,x:793;y:430
2026-01-27T00:18:08.596059,SIM,380.0,380.0,380.0,100,100,FORWARD,2.344,NPZ,10,0,0,x:792;y:430
2026-01-27T00:18:08.903599,SIM,379.5,379.1,380.0,100,100,FORWARD,2.344,NPZ,11,0,0,x:791;y:431
2026-01-27T00:18:09.216135,SIM,378.9,377.9,380.0,100,100,FORWARD,2.344,NPZ,12,0,0,x:790;y:432
2026-01-27T00:18:09.530601,SIM,378.4,376.8,380.0,100,100,FORWARD,2.344,NPZ,13,0,0,x:790;y:432
2026-01-27T00:18:09.844859,SIM,377.8,375.6,380.0,100,100,FORWARD,2.344,NPZ,14,0,0,x:789;y:433
2026-01-27T00:18:10.146490,SIM,377.2,374.4,380.0,100,100,FORWARD,2.344,NPZ,15,0,0,x:788;y:433
2026-01-27T00:18:10.449096,SIM,376.6,373.3,380.0,100,100,FORWARD,2.344,NPZ,16,0,0,x:787;y:434
2026-01-27T00:18:10.755933,SIM,376.1,372.2,380.0,100,100,FORWARD,2.344,NPZ,17,0,0,x:786;y:435
2026-01-27T00:18:11.056633,SIM,375.5,371.0,380.0,100,100,FORWARD,2.344,NPZ,18,0,0,x:785;y:435
2026-01-27T00:18:11.357626,SIM,374.9,369.9,380.0,100,100,FORWARD,2.344,NPZ,19,0,0,x:784;y:436
2026-01-27T00:18:11.664448,SIM,374.4,368.8,380.0,100,100,FORWARD,2.344,NPZ,20,0,0,x:784;y:436
2026-01-27T00:18:11.973224,SIM,373.8,367.6,380.0,100,100,FORWARD,2.344,NPZ,21,0,0,x:783;y:437
2026-01-27T00:18:12.275232,SIM,373.2,366.5,380.0,100,100,FORWARD,2.343,NPZ,22,0,0,x:782;y:438
2026-01-27T00:18:12.581144,SIM,372.6,365.3,380.0,100,100,FORWARD,2.343,NPZ,23,0,0,x:781;y:438
2026-01-27T00:18:12.881738,SIM,372.1,364.2,380.0,100,100,FORWARD,2.343,NPZ,24,0,0,x:780;y:439
2026-01-27T00:18:13.189009,SIM,371.5,363.0,380.0,100,100,FORWARD,2.343,NPZ,25,0,0,x:779;y:439
2026-01-27T00:18:13.503829,SIM,370.9,361.8,380.0,100,100,FORWARD,2.343,NPZ,26,0,0,x:778;y:440
2026-01-27T00:18:13.816981,SIM,370.3,360.6,380.0,100,100,FORWARD,2.343,NPZ,27,0,0,x:777;y:441
2026-01-27T00:18:14.129776,SIM,369.7,359.4,380.0,100,100,FORWARD,2.343,NPZ,28,0,0,x:777;y:441
2026-01-27T00:18:14.436839,SIM,369.2,358.3,380.0,100,100,FORWARD,2.343,NPZ,29,0,0,x:776;y:442
2026-01-27T00:18:14.749141,SIM,368.6,357.1,380.0,100,100,FORWARD,2.342,NPZ,30,0,0,x:775;y:442
2026-01-27T00:18:15.052854,SIM,368.0,356.0,380.0,100,100,FORWARD,2.342,NPZ,31,0,0,x:774;y:443
2026-01-27T00:18:15.354055,SIM,367.4,354.8,380.0,100,100,FORWARD,2.342,NPZ,32,0,0,x:773;y:444
2026-01-27T00:18:15.674833,SIM,367.0,353.9,380.0,100,100,FORWARD,2.342,NPZ,33,0,0,x:772;y:444
2026-01-27T00:18:15.991544,SIM,366.5,353.0,380.0,100,100,FORWARD,2.342,NPZ,34,0,0,x:772;y:445
2026-01-27T00:18:16.305743,SIM,366.0,352.0,380.0,100,100,FORWARD,2.341,NPZ,35,0,0,x:771;y:445
2026-01-27T00:18:16.618019,SIM,365.4,350.8,380.0,100,100,FORWARD,2.341,NPZ,36,0,0,x:770;y:446
2026-01-27T00:18:16.933849,SIM,364.8,349.7,380.0,100,100,FORWARD,2.341,NPZ,37,0,0,x:769;y:446
2026-01-27T00:18:17.246721,SIM,364.2,348.5,380.0,100,100,FORWARD,2.341,NPZ,38,0,0,x:768;y:447
2026-01-27T00:18:17.561696,SIM,363.6,347.3,380.0,101,100,FORWARD,2.340,NPZ,39,0,0,x:768;y:447
2026-01-27T00:18:17.871562,SIM,363.0,346.1,380.0,101,100,FORWARD,2.340,NPZ,40,0,0,x:767;y:448
2026-01-27T00:18:18.178773,SIM,362.3,345.0,379.7,101,100,FORWARD,2.340,NPZ,41,0,0,x:766;y:449
2026-01-27T00:18:18.492152,SIM,361.2,343.8,378.6,101,100,FORWARD,2.340,NPZ,42,0,0,x:765;y:449
2026-01-27T00:18:18.801137,SIM,360.1,342.6,377.5,102,100,FORWARD,2.340,NPZ,43,0,0,x:764;y:450
2026-01-27T00:18:19.109973,SIM,359.0,341.5,376.5,102,100,FORWARD,2.339,NPZ,44,0,0,x:763;y:450
2026-01-27T00:18:19.414705,SIM,357.9,340.4,375.4,103,100,FORWARD,2.339,NPZ,45,0,0,x:762;y:451
2026-01-27T00:18:19.729675,SIM,356.8,339.2,374.3,104,100,FORWARD,2.339,NPZ,46,0,0,x:762;y:452
2026-01-27T00:18:20.039051,SIM,355.7,338.1,373.3,104,100,FORWARD,2.339,NPZ,47,0,0,x:761;y:452
2026-01-27T00:18:20.344952,SIM,354.6,337.0,372.2,105,100,FORWARD,2.339,NPZ,48,0,0,x:760;y:453
2026-01-27T00:18:20.661344,SIM,353.4,335.8,371.1,106,100,FORWARD,2.339,NPZ,49,0,0,x:759;y:453
2026-01-27T00:18:20.971518,SIM,352.4,334.6,370.1,106,100,FORWARD,2.339,NPZ,50,0,0,x:758;y:454
2026-01-27T00:18:21.282779,SIM,351.2,333.4,368.9,107,100,FORWARD,2.339,NPZ,51,0,0,x:757;y:455
2026-01-27T00:18:21.595181,SIM,350.0,332.3,367.8,107,100,FORWARD,2.338,NPZ,52,0,0,x:756;y:455
